FRET Efficiency,Stoichiometry,Proximity Ratio,Stoichiometry (raw),Lifetime D [ns],Lifetime A [ns],Anisotropy D,Anisotropy A,|TDX-TAA| Filter,ALEX 2CDE Filter,|TDD-TDA| Filter,FRET 2CDE Filter,Duration [ms],Mean Macrotime [s],Number of Photons,Count rate [kHz],Count rate (DD) [kHz],Count rate (DA) [kHz],Count rate (AA) [kHz],Count rate (DD par) [kHz],Count rate (DD perp) [kHz],Count rate (DA par) [kHz],Count rate (DA perp) [kHz],Count rate (AA par) [kHz],Count rate (AA perp) [kHz],Number of Photons (DD),Number of Photons (DA),Number of Photons (AA),Number of Photons (DD par),Number of Photons (DD perp),Number of Photons (DA par),Number of Photons (DA perp),Number of Photons (AA par),Number of Photons (AA perp),log(FD/FA),M1-M2,Number of Photons (DX),Count rate (DX) [kHz],Distance (from intensity) [A],FRET efficiency (from lifetime),Distance (from lifetime) [A],FRET efficiency (sens. Acc. Em.)
0.57381,0.62153,0.50392,0.66725,0,0,-0.17462,0.22661,0.26669,7.7623,0.35002,15.514,16.026,52.259,1148,71.634,24.222,24.127,23.903,9.8673,14.724,15.314,9.124,17.771,6.8753,380,386,382,149,231,245,141,284,98,-0.29741,0.42619,766,47.798,66.615,1,0,0.56836
0.097612,0.50964,0.125,0.59864,0,0,-0.13323,0.19865,0.31641,6.1844,0.06263,12.399,7.1729,54.699,882,122.96,65.702,11.082,50.968,28.3,42.64,7.0139,5.7812,37.286,14.079,462,66,354,199,263,38,28,258,96,2.224,0.90239,528,73.611,101.41,1,0,0.061188
0.73096,0.54542,0.66824,0.58349,0,0,-0.27237,0.13117,0.93077,5.6086,0.38976,10.917,9.4743,54.991,1090,115.05,23.021,45.3,48.346,6.8735,16.207,27.767,18.31,33.437,15.028,211,425,454,63,148,255,170,314,140,-0.9995,0.26904,636,67.129,59.259,1,0,0.52898
0.084141,0.62147,0.10411,0.69893,0,0,-0.15761,0.17066,0.57811,4.609,0.31246,11.805,11.908,59.635,1498,125.8,79.221,10.223,37.874,33.26,46.789,6.0962,4.4807,27.041,11.344,938,109,451,384,554,65,44,322,129,2.3874,0.91586,1047,87.924,104.21,1,0,0.08332
0.47073,0.65126,0.40964,0.70042,0,0,-0.12691,0.18722,0.34776,8.6651,0.4033,16.854,6.8442,62.664,711,103.88,43.681,34.704,35.624,19.018,25.613,20.754,14.77,25.757,11.6,294,204,213,128,166,122,82,154,59,0.11722,0.52927,498,72.763,71.381,1,0,0.53021
0.12984,0.65712,0.13333,0.72655,0,0,-0.14769,0.17337,0.1448,3.7706,0.24363,10.267,8.0505,67.76,1631,202.6,128.99,19.701,56.617,54.338,75.31,13.43,7.7274,40.662,16.22,1027,158,446,430,597,105,53,319,127,1.9024,0.87016,1185,147.2,96.116,1,0,0.15008
0.18587,0.61561,0.17901,0.6879,0,0,-0.16503,0.07743,0.2884,7.0176,0.19149,9.9108,4.8816,67.767,471,96.484,56.642,14.194,31.516,25.822,33.857,8.3209,7.6485,20.796,11.542,266,58,147,107,159,34,24,97,50,1.4771,0.81413,324,66.371,89.539,1,0,0.17953
0.19128,0.58143,0.18627,0.65806,0,0,-0.22106,0.14153,0.098801,7.6517,0.0039552,6.8349,3.9626,70.953,310,78.232,43.962,11.144,29.653,16.671,28.602,9.9679,1.874,21.508,12.339,166,38,106,58,108,32,6,74,32,1.4417,0.80872,204,51.482,89.013,1,0,0.16025
0.11012,0.61845,0.12278,0.69468,0,0,-0.1728,0.15348,0.1314,5.9744,0.15787,11.308,6.1889,74.251,809,130.72,79.658,12.988,42.78,33.321,49.152,8.0942,5.6541,30.137,14.45,493,69,247,195,298,43,26,174,73,2.0895,0.88988,562,90.807,99.161,1,0,0.10766
0.58981,0.59992,0.52535,0.64455,0,0,-0.19406,0.15444,0.18881,3.9396,0.42751,14.524,5.7926,74.866,1010,174.36,54.557,67,64.091,21.058,34.076,40.482,27.819,45.369,20.022,309,342,359,116,193,200,142,253,106,-0.36319,0.41019,651,112.38,65.888,1,0,0.53344
0.16185,0.5391,0.17021,0.62458,0,0,-0.15429,0.096604,0.13376,9.4899,0.45277,11.528,6.0874,77.188,301,49.447,25.627,5.8309,19.888,11.118,15.859,4.0087,2.1765,13.797,6.6779,156,32,113,64,92,22,10,76,37,1.6445,0.83815,188,30.884,92.073,1,0,0.11418
0.17053,0.54576,0.17427,0.6276,0,0,-0.13647,0.062413,0.14807,6.2099,0.38197,10.55,4.6562,77.214,384,82.471,42.924,9.9828,33.335,18.605,26.601,10.545,2.3769,21.68,14.283,199,42,143,85,114,32,10,93,50,1.5819,0.82947,241,51.759,91.117,1,0,0.12358
0.0429,0.66906,0.072464,0.74194,0,0,-0.10703,0.12275,0.0096386,5.6839,0.19768,12.819,2.0017,81.259,186,92.92,63.945,8.852,25.232,29.563,34.97,9.6807,6.599,18.041,8.211,128,10,48,58,70,8,2,33,15,3.105,0.9571,138,68.941,117.45,1,0,0.052312
0.10982,0.38171,0.15385,0.47706,0,0,-0.22972,0.32433,0.042685,5.0413,0.046974,8.1172,0.98854,82.097,109,110.26,55.14,12.932,57.661,27.554,36.343,13.034,Inf,46.45,16.821,44,8,57,15,29,7,1,45,12,2.0926,0.89018,52,52.603,99.212,1,0,0.040892
0.80859,0.54443,0.73333,0.5814,0,0,-0.0871,0.18481,0.10623,8.5747,0.034247,12.19,2.999,84.525,129,43.014,7.0234,20.807,19.783,3.4996,4.5238,12.777,9.3371,15.07,5.5337,20,55,54,9,11,33,22,39,15,-1.4409,0.19141,75,25.008,55.056,1,0,0.58282
0.096644,0.65384,0.11154,0.72626,0,0,-0.20191,0.11605,0.149,8.1717,0.31873,8.4356,4.2841,87.493,358,83.565,53.92,7.8973,23.301,19.841,35.053,4.5777,3.8125,16.683,7.9726,231,29,98,85,146,15,14,67,31,2.2351,0.90336,260,60.689,101.6,1,0,0.1101
0.67605,0.68389,0.6088,0.71503,0,0,-0.10238,0.16111,0.411,5.2623,0.56793,21.396,6.8725,88.419,1144,166.46,47.267,74.869,50.494,24.816,25.701,47.339,29.401,35.78,19.363,320,498,326,146,174,303,195,231,95,-0.7357,0.32395,818,119.02,61.922,1,0,0.88215
0.75152,0.63625,0.68447,0.66667,0,0,-0.21599,0.12621,0.037399,8.1009,0.27684,12.008,3.7681,95.609,309,82.005,17.782,38.334,28.006,6.8934,11.632,25.534,14.22,19.305,9.5324,65,141,103,23,42,91,50,71,32,-1.1067,0.24848,206,54.67,58.209,1,0,0.79284
0.66842,0.66045,0.59756,0.69492,0,0,-0.29676,0.50689,0.048566,7.8799,0.007174,9.0576,1.3263,95.612,118,88.969,29.991,39.892,31.352,9.441,22.928,16.283,27.963,27.091,10.787,33,49,36,9,24,20,29,31,5,-0.70106,0.33158,82,61.826,62.281,1,0,0.78418
0.46851,0.62863,0.4102,0.67973,0,0,-0.14649,0.084482,0.7375,8.0372,1.8994,42.248,7.7703,106.77,1327,170.78,69.357,49.447,54.695,29.072,42.268,30.545,19.779,36.292,21.468,532,370,425,223,309,222,148,282,143,0.12614,0.53149,902,116.08,71.487,1,0,0.47833
0.71428,0.70097,0.64593,0.72822,0,0,-0.1901,0.26195,0.13304,5.8718,0.24674,11.326,8.0869,109.67,861,106.47,27.764,51.224,29.204,10.512,17.555,31.62,20.01,23.167,7.094,222,405,234,84,138,250,155,178,56,-0.91625,0.28572,627,77.533,60.087,1,0,1.0099
0.64854,0.59781,0.57488,0.64087,0,0,-0.17984,0.23973,0.12439,9.5486,0.62318,11.774,5.4628,109.8,323,59.127,17.528,22.061,21.654,7.3455,10.756,13.533,9.452,16.278,5.7249,88,119,116,34,54,73,46,87,29,-0.61262,0.35146,207,37.892,63.206,1,0,0.58142
0.7798,0.59089,0.71484,0.62287,0,0,-0.25704,0.074445,0.22445,6.2939,0.22189,9.8507,5.3546,111.29,411,76.756,14.571,35.077,28.947,4.8189,10.015,22.062,13.974,19.049,10.489,73,183,155,23,50,113,70,102,53,-1.2645,0.2202,256,47.809,56.698,1,0,0.67933
0.15494,0.51862,0.16667,0.6055,0,0,-0.10279,0.14057,0.037311,8.1707,0.034098,6.7163,1.7499,112.73,109,62.291,33.061,8.2215,24.695,15.065,20.531,8.0234,7.0678,21.829,8.4271,55,11,43,25,30,5,6,30,13,1.6964,0.84506,66,37.717,92.872,1,0,0.10068
0.63561,0.66561,0.56425,0.70196,0,0,-0.29974,-0.074922,0.2265,6.2631,0.1302,9.8182,2.8674,114.26,255,88.932,28.63,35.449,27.674,9.741,20.922,15.794,24.79,17.493,12.381,78,101,76,21,57,45,56,42,34,-0.55636,0.36439,179,62.427,63.801,1,0,0.76309
0.70059,0.60095,0.63319,0.63788,0,0,-0.11084,0.086714,0.15879,7.6864,0.30431,17.865,7.3596,114.26,718,97.56,23.387,41.093,41.012,11.039,12.946,23.522,18.58,27.288,14.285,168,290,260,75,93,166,124,173,87,-0.85009,0.29941,458,62.232,60.753,1,0,0.63636
